,G,PTS,FGM,FGA,3FGM,3FGA,oPTS,oFGM,oFGA,o3FGM,o3FGA,FTM,FTA,oFTM,oFTA,REB,oREB,OREB,DREB,AST,TO,oTO,oOREB,POSS,oPOSS,ORTG,DRTG,NRTG,FG%,3FG%,eFG,TS%,ppg
Harvard,12,870,322,834,103,340,795,273,709,81,273,123,183,168,236,467,524,187,280,181,151,240,172,878.52,880.84,99.03018713290534,90.25475682303255,8.775430309872789,0.38609112709832133,0.3029411764705882,0.447841726618705,0.4756593622884136,72.5
Yale,13,759,277,715,90,270,741,256,714,78,259,115,169,151,209,497,440,150,347,195,260,219,131,899.36,893.96,84.39334637964775,82.88961474786343,1.5037316317843192,0.38741258741258744,0.3333333333333333,0.45034965034965035,0.4807692307692308,58.38461538461539
Columbia,13,828,298,765,93,315,731,279,840,75,285,139,236,98,154,601,484,183,418,207,231,165,161,916.84,911.76,90.31019589023165,80.17460735281215,10.135588537419508,0.3895424836601307,0.29523809523809524,0.4503267973856209,0.4764973988306247,63.69230769230769
Brown,13,717,265,708,79,263,916,346,859,90,277,108,146,134,202,409,589,85,324,147,233,192,221,920.24,918.88,77.9144570981483,99.68657496082187,-21.772117862673568,0.3742937853107345,0.30038022813688214,0.4300847457627119,0.4642339169170206,55.15384615384615
Princeton,12,851,317,759,89,236,519,189,573,51,198,128,174,90,139,479,366,182,297,188,148,266,98,801.56,802.16,106.16797245371525,64.70030916525383,41.467663288461424,0.4176548089591568,0.3771186440677966,0.4762845849802372,0.5092393125568482,70.91666666666667
Penn,13,832,288,787,87,303,769,291,773,83,289,169,230,104,163,521,508,182,339,163,190,220,166,896.2,898.72,92.83642044186566,85.56613850810041,7.270281933765247,0.36594663278271916,0.2871287128712871,0.4212198221092757,0.4683629813105156,64.0
Cornell,13,663,227,698,65,239,813,278,739,104,327,144,222,153,215,478,499,184,294,155,252,213,182,863.6800000000001,864.6,76.76454242311966,94.03192227619708,-17.267379853077415,0.32521489971346706,0.2719665271966527,0.37177650429799425,0.41662477377840335,51.0
Dartmouth,13,611,231,724,66,265,847,313,783,110,323,83,132,111,174,480,522,164,316,132,243,193,186,861.08,866.56,70.95740233195521,97.74279911373708,-26.78539678178187,0.319060773480663,0.2490566037735849,0.36464088397790057,0.390625,47.0
