Team,G,OREB,AVG/G
Harvard,12,187,15.6
Princeton,12,182,15.2
Cornell,13,184,14.2
Columbia,13,183,14.1
Penn,13,182,14
Dartmouth,13,164,12.6
Yale,13,150,11.5
Brown,13,85,6.5
